House_ID,Location,House_Type,Bedrooms,Bathrooms,Area_sqft,Age_Years,Parking,Price
2001,Pokhara,Flat,4,2,3389,13,No,33092661
2002,Butwal,Apartment,5,1,828,24,No,21677571
2003,Kathmandu,House,3,2,1767,27,Yes,68482248
2004,Pokhara,House,2,3,2015,21,No,68647027
2005,Pokhara,Flat,4,5,1629,29,No,14765725
2006,Kathmandu,House,1,5,2120,5,Yes,16927895
2007,Pokhara,Apartment,6,2,4473,15,No,12497002
2008,Butwal,Apartment,5,2,3438,20,No,50289062
2009,Butwal,Villa,5,3,2721,28,No,36451423
2010,Bhaktapur,Apartment,7,1,4147,10,No,20947197
2011,Pokhara,Flat,7,5,3781,16,No,13877663
2012,Kathmandu,Villa,2,1,3587,9,Yes,52170993
2013,Kathmandu,House,3,5,3044,7,No,26396961
2014,Bhaktapur,Apartment,6,1,2447,7,Yes,52325516
2015,Butwal,House,1,4,3469,30,Yes,30884446
2016,Pokhara,Flat,5,1,3370,15,Yes,7313597
2017,Bhaktapur,Apartment,2,2,1144,4,Yes,13393847
2018,Pokhara,Apartment,1,3,773,23,No,6473384
2019,Butwal,Flat,4,4,1907,23,No,39139434
2020,Pokhara,Villa,4,2,3885,7,No,9195144
2021,Butwal,Villa,4,3,3947,23,Yes,16782838
2022,Pokhara,Apartment,4,3,511,9,No,6533127
2023,Kathmandu,Villa,2,4,539,21,Yes,18741798
2024,Lalitpur,Apartment,7,1,3863,19,No,25745946
2025,Bhaktapur,Apartment,6,2,4204,3,Yes,50506930
2026,Butwal,Villa,7,5,1088,6,Yes,49793307
2027,Kathmandu,Villa,5,4,1214,13,No,52882018
2028,Bhaktapur,House,2,2,2961,27,No,8910505
2029,Bhaktapur,House,4,5,4005,19,Yes,47719322
2030,Lalitpur,House,7,1,2871,20,Yes,7163760
2031,Bhaktapur,Flat,4,3,4025,3,Yes,7131450
2032,Bhaktapur,Flat,1,5,1132,16,Yes,50240751
2033,Kathmandu,Villa,6,1,2773,19,Yes,13426641
2034,Butwal,House,2,3,3517,19,No,52010244
2035,Kathmandu,Flat,7,3,975,22,No,65379303
2036,Lalitpur,House,6,3,1437,2,Yes,19088051
2037,Butwal,Apartment,5,1,1012,16,Yes,53484745
2038,Bhaktapur,Villa,5,4,1333,16,Yes,68108157
2039,Butwal,Villa,1,5,2651,17,Yes,50205704
2040,Pokhara,Apartment,5,2,2396,23,Yes,11638904
2041,Pokhara,Villa,3,1,3069,10,Yes,24562413
2042,Lalitpur,Flat,5,2,1833,3,Yes,27035482
2043,Butwal,House,2,4,835,3,No,44523102
2044,Pokhara,Villa,3,2,3230,4,No,66461470
2045,Kathmandu,House,5,2,2434,24,Yes,59930304
2046,Butwal,Flat,3,1,840,16,Yes,32540836
2047,Bhaktapur,House,2,4,1238,7,No,21005878
2048,Pokhara,Villa,4,4,1564,11,Yes,52805597
2049,Lalitpur,House,7,5,1221,2,No,10230793
2050,Lalitpur,Apartment,2,5,2434,12,Yes,55931031
2051,Butwal,House,4,1,2410,27,No,6621579
2052,Lalitpur,Flat,5,1,3738,3,No,6786335
2053,Lalitpur,Flat,5,5,3453,27,No,39823547
2054,Bhaktapur,Villa,3,2,4263,5,Yes,26810407
2055,Bhaktapur,Flat,5,4,1511,25,No,53974786
2056,Kathmandu,House,2,1,1506,3,Yes,45304827
2057,Lalitpur,Flat,2,3,2165,23,Yes,43965038
2058,Lalitpur,Flat,3,3,4148,23,Yes,38166347
2059,Lalitpur,House,3,3,1456,13,No,6656204
2060,Kathmandu,Villa,1,5,3444,25,Yes,59297069
